project_code,project_name,snapshot_date,target_schedule_overrun_months,prediction,fold
N18000397,TRANSMISSION SYSTEM STRENGTHENING FOR INTERCONNECTIONS OF BHADLA-III AND BIKANER III COMPLEX [SPV NA,2025-02-01,0.0,0.7101573279576956,2
N18000397,TRANSMISSION SYSTEM STRENGTHENING FOR INTERCONNECTIONS OF BHADLA- III AND BIKANER III COMPLEX [SPV NA,2025-03-01,0.0,0.7101573279576956,2
N18000397,TRANSMISSION SYSTEM STRENGTHENING FOR INTERCONNECTIONS OF BHADLA-III AND BIKANER III COMPLEX [SPV NA,2025-04-01,0.0,1.265196512522786,2
N18000397,TRANSMISSION SYSTEM STRENGTHENING FOR INTERCONNECTIONS OF BHADLA-III AND BIKANER III COMPLEX [SPV NA,2025-05-01,0.0,1.593425513328219,2
N18000397,TRANSMISSION SYSTEM STRENGTHENING FOR INTERCONNECTIONS OF BHADLA-III AND BIKANER III COMPLEX [SPV NA,2025-06-01,0.0,1.698132822930545,2
N18000402,PROVISION OF DYNAMIC REACTIVE COMPENSATION AT KHAVDA POOLING STATION 1 [KPS1] AND KHAVDA POOLING STA,2025-02-01,-6.0,-1.1002690264607962,2
N18000402,PROVISION OF DYNAMIC REACTIVE COMPENSATION AT KHAVDA POOLING STATION 1 [KPS1] AND KHAVDA POOLING STA,2025-03-01,0.0,0.8190934955374859,2
N18000402,PROVISION OF DYNAMIC REACTIVE COMPENSATION AT KHAVDA POOLING STATION 1 [KPS1] AND KHAVDA POOLING STA,2025-04-01,0.0,0.8190934955374859,2
N18000402,PROVISION OF DYNAMIC REACTIVE COMPENSATION AT KHAVDA POOLING STATION 1 [KPS1] AND KHAVDA POOLING STA,2025-05-01,0.0,0.8190934955374859,2
N18000402,PROVISION OF DYNAMIC REACTIVE COMPENSATION AT KHAVDA POOLING STATION 1 [KPS1] AND KHAVDA POOLING STA,2025-06-01,0.0,1.2745065620017473,2
