project_code,project_name,snapshot_date,original_cost_cr,cumulative_expenditure_cr,physical_progress_pct,planned_duration_months,elapsed_months,months_to_original_target,expenditure_pct_of_original_cost,project_category,progress_velocity,expenditure_velocity,expenditure_progress_gap,schedule_slippage_months,schedule_pressure_ratio,budget_consumption_ratio,target_cost_overrun_pct,target_schedule_overrun_months
611967,Transmission Scheme for Solar Energy Zone in Ananthpuram 2500MW and Kurnool 1000MW,2025-10-01,1248.69,998.95,87.0,24,25,-1,79.99983983214408,Transmission_System,3.0,5.9998878825008575,-7.000160167855924,1,1.0416666666666667,0.7999983983214407,0.0,6.0
611967,Transmission Scheme for Solar Energy Zone in Ananthpuram 2500MW and Kurnool 1000MW,2025-11-01,1248.69,1023.92,90.0,24,26,-2,81.99953551321785,Transmission_System,3.0,1.9996956810737745,-8.00046448678215,2,1.0833333333333333,0.8199953551321785,0.0,6.0
611967,Transmission Scheme for Solar Energy Zone in Ananthpuram 2500MW and Kurnool 1000MW,2025-12-01,1248.69,1077.61,91.0,24,27,-3,86.29924160520224,Transmission_System,1.0,4.29970609198439,-4.700758394797759,3,1.125,0.8629924160520224,0.0,6.0
611967,Transmission Scheme for Solar Energy Zone in Ananthpuram 2500MW and Kurnool 1000MW,2026-01-01,1248.69,1102.46,93.0,24,28,-4,88.28932721492123,Transmission_System,2.0,1.9900856097189887,-4.710672785078771,4,1.1666666666666667,0.8828932721492123,0.0,6.0
611967,Transmission Scheme for Solar Energy Zone in Ananthpuram 2500MW and Kurnool 1000MW,2026-02-01,1248.69,1173.76,96.0,24,29,-5,93.99931127821957,Transmission_System,3.0,5.709984063298336,-2.0006887217804348,5,1.2083333333333333,0.9399931127821956,0.0,6.0
611967,Transmission Scheme for Solar Energy Zone in Ananthpuram 2500MW and Kurnool 1000MW,2026-03-01,1248.69,1198.74,97.52,24,30,-6,95.9998077985729,Transmission_System,1.519999999999996,2.000496520353338,-1.5201922014270934,6,1.25,0.959998077985729,0.0,7.0
612138,"Transmission Scheme for Solar Energy Zone in Bidar [2500 MW], Karnataka [Bidar Transmission Ltd]",2025-09-01,2147.62,1310.04,64.0,24,19,5,60.9996181819875,Transmission_System,0.0,0.0,-3.0003818180124995,0,0.7916666666666666,0.609996181819875,0.0,4.0
612138,"Transmission Scheme for Solar Energy Zone in Bidar [2500 MW], Karnataka [Bidar Transmission Ltd]",2025-10-01,2147.62,1438.9,67.0,24,20,4,66.99974855886983,Transmission_System,3.0,6.000130376882325,-0.0002514411301746,0,0.8333333333333334,0.6699974855886982,0.0,4.0
612138,"Transmission Scheme for Solar Energy Zone in Bidar [2500 MW], Karnataka [Bidar Transmission Ltd]",2025-11-01,2147.62,1505.69,71.0,24,21,3,70.10970283383467,Transmission_System,4.0,3.109954274964849,-0.8902971661653254,0,0.875,0.7010970283383468,0.0,4.0
612138,"Transmission Scheme for Solar Energy Zone in Bidar [2500 MW], Karnataka [Bidar Transmission Ltd]",2025-12-01,2147.62,1685.45,79.0,24,22,2,78.47989867853717,Transmission_System,8.0,8.370195844702494,-0.5201013214628318,0,0.9166666666666666,0.7847989867853716,0.0,4.0
612138,"Transmission Scheme for Solar Energy Zone in Bidar [2500 MW], Karnataka [Bidar Transmission Ltd]",2026-01-01,2147.62,1769.42,82.0,24,23,1,82.38980825285665,Transmission_System,3.0,3.909909574319485,0.3898082528566533,0,0.9583333333333334,0.8238980825285666,0.0,4.0
612138,"Transmission Scheme for Solar Energy Zone in Bidar [2500 MW], Karnataka [Bidar Transmission Ltd]",2026-03-01,2147.62,1825.47,87.32,24,25,-1,84.99967405779422,Transmission_System,2.6599999999999966,1.304932902468785,-2.32032594220577,1,1.0416666666666667,0.8499967405779423,0.0,4.0
612139,Transmission system for Evacuation of Additional 7 GW RE power from Khavda RE park under Phase-III Part B [Vataman Transmission Limited],2025-07-01,3751.82,1500.72,21.0,24,19,5,39.999786770154216,Transmission_System,0.0,0.0,18.999786770154216,0,0.7916666666666666,0.3999978677015421,0.0,6.0
612139,Transmission system for Evacuation of Additional 7 GW RE power from Khavda RE park under Phase-III Part B [Vataman Transmission Limited],2025-08-01,3751.82,1575.72,22.0,24,20,4,41.998816574355914,Transmission_System,1.0,1.9990298042016976,19.998816574355914,0,0.8333333333333334,0.4199881657435591,0.0,6.0
612139,Transmission system for Evacuation of Additional 7 GW RE power from Khavda RE park under Phase-III Part B [Vataman Transmission Limited],2025-09-01,3751.82,1688.32,25.0,24,21,3,45.00002665373072,Transmission_System,3.0,3.0012100793748075,20.00002665373072,0,0.875,0.4500002665373072,0.0,12.0
612139,Transmission system for Evacuation of Additional 7 GW RE power from Khavda RE park under Phase-III Part B [Vataman Transmission Limited],2025-10-01,3751.82,1688.32,28.0,24,22,2,45.00002665373072,Transmission_System,3.0,0.0,17.00002665373072,0,0.9166666666666666,0.4500002665373072,0.0,12.0
612139,Transmission system for Evacuation of Additional 7 GW RE power from Khavda RE park under Phase-III Part B [Vataman Transmission Limited],2025-11-01,3751.82,2025.98,32.0,24,23,1,53.99992536955397,Transmission_System,4.0,8.99989871582325,21.99992536955397,0,0.9583333333333334,0.5399992536955397,0.0,12.0
612139,Transmission system for Evacuation of Additional 7 GW RE power from Khavda RE park under Phase-III Part B [Vataman Transmission Limited],2025-12-01,3751.82,2101.02,38.0,24,24,0,56.00002132298457,Transmission_System,6.0,2.000095953430602,18.000021322984573,0,1.0,0.5600002132298457,0.0,12.0
612139,Transmission system for Evacuation of Additional 7 GW RE power from Khavda RE park under Phase-III Part B [Vataman Transmission Limited],2026-01-01,3751.82,2138.53,42.0,24,25,-1,56.99980276239266,Transmission_System,4.0,0.9997814394080892,14.999802762392662,1,1.0416666666666667,0.5699980276239266,0.0,12.0
612139,Transmission system for Evacuation of Additional 7 GW RE power from Khavda RE park under Phase-III Part B [Vataman Transmission Limited],2026-02-01,3751.82,2176.05,50.0,24,26,-2,57.99985073910795,Transmission_System,8.0,1.0000479767152868,7.9998507391079485,2,1.0833333333333333,0.5799985073910795,0.0,12.0
