project_code,project_name,snapshot_date,start_date,original_doc,original_cost_cr,cumulative_expenditure_cr,physical_progress_pct,planned_duration_months,elapsed_months,months_to_original_target,expenditure_pct_of_original_cost,project_category,target_cost_overrun_pct,target_schedule_overrun_months,delay_flag,cost_overrun_flag
611950,Transmission system for evacuation of power from REZ in Rajasthan 20 GW under Phase-III part B1,2025-10-01,2023-09-01,04-2025,2190.54,1949.58,91.0,19,25,-6,88.99997260949355,Transmission_System,0.0,8.0,1,0
611950,Transmission system for evacuation of power from REZ in Rajasthan 20 GW under Phase-III part B1,2025-11-01,2023-09-01,04-2025,2190.54,2000.84,96.0,19,26,-7,91.34003487724488,Transmission_System,0.0,8.0,1,0
611950,Transmission system for evacuation of power from REZ in Rajasthan 20 GW under Phase-III part B1,2025-12-01,2023-09-01,04-2025,2190.54,2079.44,98.0,19,27,-8,94.9281912222557,Transmission_System,0.0,9.0,1,0
611950,Transmission system for evacuation of power from REZ in Rajasthan 20 GW under Phase-III part B1,2026-01-01,2023-09-01,04-2025,2190.54,2139.44,99.0,19,28,-9,97.66724186730214,Transmission_System,0.0,10.0,1,0
611951,Transmission system for evacuation of power from REZ in Rajasthan 20GW under Phase-III Part E1,2025-07-01,2023-08-01,02-2025,688.74,585.42,93.0,18,23,-5,84.99869326596394,Transmission_System,0.0,7.0,1,0
611951,Transmission system for evacuation of power from REZ in Rajasthan 20GW under Phase-III Part E1,2025-08-01,2023-08-01,02-2025,688.74,587.42,96.0,18,24,-6,85.2890786073119,Transmission_System,0.0,7.0,1,0
611951,Transmission system for evacuation of power from REZ in Rajasthan 20GW under Phase-III Part E1,2025-09-01,2023-08-01,02-2025,688.74,633.42,97.0,18,25,-7,91.96794145831517,Transmission_System,0.0,7.0,1,0
611951,Transmission system for evacuation of power from REZ in Rajasthan 20GW under Phase-III Part E1,2025-10-01,2023-08-01,02-2025,688.74,654.3,97.0,18,26,-8,94.99956442198796,Transmission_System,0.0,10.0,1,0
611951,Transmission system for evacuation of power from REZ in Rajasthan 20GW under Phase-III Part E1,2025-11-01,2023-08-01,02-2025,688.74,668.0,98.0,18,27,-9,96.98870401022155,Transmission_System,0.0,10.0,1,0
611951,Transmission system for evacuation of power from REZ in Rajasthan 20GW under Phase-III Part E1,2025-12-01,2023-08-01,02-2025,688.74,685.29,99.0,18,28,-10,99.49908528617476,Transmission_System,0.0,11.0,1,0
611951,Transmission system for evacuation of power from REZ in Rajasthan 20GW under Phase-III Part E1,2026-01-01,2023-08-01,02-2025,688.74,685.98,99.0,18,29,-11,99.5992682289398,Transmission_System,0.0,12.0,1,0
611951,Transmission system for evacuation of power from REZ in Rajasthan 20GW under Phase-III Part E1,2026-02-01,2023-08-01,02-2025,688.74,686.67,99.0,18,30,-12,99.69945117170484,Transmission_System,0.0,12.0,1,0
611951,Transmission system for evacuation of power from REZ in Rajasthan 20GW under Phase-III Part E1,2026-03-01,2023-08-01,02-2025,688.74,686.67,99.7,18,31,-13,99.69945117170484,Transmission_System,0.0,14.0,1,0
611966,Transmission System for Evacuation of power from Potential RE Zone in Khavda Area of Gujarat under phase IV 7GW-Part E4,2025-07-01,2023-11-01,07-2025,224.41,22.44,9.0,20,20,0,9.9995543870594,Transmission_System,0.0,4.0,1,0
611966,Transmission System for Evacuation of power from Potential RE Zone in Khavda Area of Gujarat under phase IV 7GW-Part E4,2025-08-01,2023-11-01,07-2025,224.41,24.64,10.0,20,21,-1,10.97990285637895,Transmission_System,0.0,5.0,1,0
611966,Transmission System for Evacuation of power from Potential RE Zone in Khavda Area of Gujarat under phase IV 7GW-Part E4,2025-09-01,2023-11-01,07-2025,224.41,25.8,12.0,20,22,-2,11.496813867474712,Transmission_System,0.0,5.0,1,0
611966,Transmission System for Evacuation of power from Potential RE Zone in Khavda Area of Gujarat under phase IV 7GW-Part E4,2025-10-01,2023-11-01,07-2025,224.41,33.66,18.0,20,23,-3,14.999331580589098,Transmission_System,0.0,8.0,1,0
611966,Transmission System for Evacuation of power from Potential RE Zone in Khavda Area of Gujarat under phase IV 7GW-Part E4,2025-11-01,2023-11-01,07-2025,224.41,89.66,44.0,20,24,-4,39.95365625417762,Transmission_System,0.0,8.0,1,0
611966,Transmission System for Evacuation of power from Potential RE Zone in Khavda Area of Gujarat under phase IV 7GW-Part E4,2025-12-01,2023-11-01,07-2025,224.41,109.96,49.0,20,25,-5,48.99959894835346,Transmission_System,0.0,8.0,1,0
