project_code,project_name,state,snapshot_date,start_date,original_doc,original_cost_cr,cumulative_expenditure_cr,physical_progress_pct,planned_duration_months,elapsed_months,months_to_original_target,expenditure_pct_of_original_cost,progress_gap_pct,project_category,target_cost_overrun_pct,target_schedule_overrun_months,delay_flag,cost_overrun_flag
611947,Transmission System for Evacuation of Power from REZ in Rajasthan 20GW under Phase III- Part E2,Rajasthan,2026-02,11-2023,06-2025,428.3,372.62,89.0,19,27,-8,86.99976651879524,11.0,Transmission_System,0.0,9.0,1,0
611947,Transmission System for Evacuation of Power from REZ in Rajasthan 20GW under Phase III- Part E2,Rajasthan,2026-03,11-2023,06-2025,428.3,406.88,97.4,19,28,-9,94.99883259397618,2.5999999999999943,Transmission_System,0.0,12.0,1,0
611947,Transmission System for Evacuation of Power from REZ in Rajasthan 20GW under Phase III- Part E2,-) Rajasthan,2026-04,11-2023,06-2025,428.3,415.45,98.4,19,29,-10,96.99976651879523,1.5999999999999943,Transmission_System,0.0,12.0,1,0
611948,Transmission system for evacuation of power from REZ in Rajasthan 20 GW under Phase-III part H,Rajasthan,2025-07,10-2023,04-2025,2211.29,1780.53,72.0,18,21,-3,80.51996798248986,28.0,Transmission_System,0.0,8.0,1,0
611948,Transmission system for evacuation of power from REZ in Rajasthan 20 GW under Phase-III part H,Rajasthan,2025-08,10-2023,04-2025,2211.29,1817.46,80.0,18,22,-4,82.1900338716315,20.0,Transmission_System,0.0,8.0,1,0
611948,Transmission system for evacuation of power from REZ in Rajasthan 20 GW under Phase-III part H,Rajasthan,2025-09,10-2023,04-2025,2211.29,1879.59,84.0,18,23,-5,84.99970605393233,16.0,Transmission_System,0.0,8.0,1,0
611948,Transmission system for evacuation of power from REZ in Rajasthan 20 GW under Phase-III part H,Rajasthan,2025-10,10-2023,04-2025,2211.29,1945.93,88.0,18,24,-6,87.99976484314585,12.0,Transmission_System,0.0,9.0,1,0
611948,Transmission system for evacuation of power from REZ in Rajasthan 20 GW under Phase-III part H,Rajasthan,2025-11,10-2023,04-2025,2211.29,1975.34,92.0,18,25,-7,89.32975774321775,8.0,Transmission_System,0.0,9.0,1,0
611948,Transmission system for evacuation of power from REZ in Rajasthan 20 GW under Phase-III part H,Rajasthan,2025-12,10-2023,04-2025,2211.29,2081.24,94.0,18,26,-8,94.11881752280343,6.0,Transmission_System,0.0,11.0,1,0
611948,Transmission system for evacuation of power from REZ in Rajasthan 20 GW under Phase-III part H,Rajasthan,2026-01,10-2023,04-2025,2211.29,2087.01,95.0,18,27,-9,94.37975118595934,5.0,Transmission_System,0.0,11.0,1,0
611948,Transmission system for evacuation of power from REZ in Rajasthan 20 GW under Phase-III part H,Rajasthan,2026-02,10-2023,04-2025,2211.29,2100.72,96.0,18,28,-10,94.99975127640427,4.0,Transmission_System,0.0,11.0,1,0
611948,Transmission system for evacuation of power from REZ in Rajasthan 20 GW under Phase-III part H,Rajasthan,2026-03,10-2023,04-2025,2211.29,2122.84,97.68,18,29,-11,96.00007235595513,2.319999999999993,Transmission_System,0.0,14.0,1,0
611949,Transmission system for evacuation of power from REZ in Rajasthan 20 GW under Phase-III part C1,Rajasthan,2025-07,10-2023,04-2025,1796.02,1201.17,79.0,18,21,-3,66.87954477121636,21.0,Transmission_System,0.0,6.0,1,0
611949,Transmission system for evacuation of power from REZ in Rajasthan 20 GW under Phase-III part C1,Rajasthan,2025-08,10-2023,04-2025,1796.02,1247.87,83.0,18,22,-4,69.47973853297847,17.0,Transmission_System,0.0,6.0,1,0
